	url	title
306	/wiki/Battle_of_Tao_River	Battle of Tao River
307	/wiki/Battle_of_Crotona	Battle of Crotona
308	/wiki/Battle_of_Utica_(204_BC)	Battle of Utica (204 BC)
309	/wiki/Battle_of_Wei_River	Battle of Wei River
310	/wiki/Battle_of_Utica_(203_BC)	Battle of Utica (203 BC)
311	/wiki/Battle_of_Bagbrades	Battle of Bagbrades
312	/wiki/Battle_of_Cirta	Battle of Cirta
313	/wiki/Battle_of_Zama	Battle of Zama
314	/wiki/Battle_of_Gaixia	Battle of Gaixia
315	/wiki/Battle_of_Chios_(201_BC)	Battle of Chios (201 BC)
316	/wiki/Battle_of_Lade_(201_BC)	Battle of Lade (201 BC)
317	/wiki/Battle_of_Cremona_(200_BC)	Battle of Cremona (200 BC)
318	/wiki/Battle_of_Baideng	Battle of Baideng
319	/wiki/Battle_of_Panium	Battle of Panium
320	/wiki/Battle_of_the_Aous_(198_BC)	Battle of the Aous (198 BC)
321	/wiki/Battle_of_Cynoscephalae	Battle of Cynoscephalae
322	/wiki/Battle_of_Mutina_(194_BC)	Battle of Mutina (194 BC)
323	/wiki/Battle_of_Gythium	Battle of Gythium
324	/wiki/Battle_of_Thermopylae_(191_BC)	Battle of Thermopylae (191 BC)
325	/wiki/Battle_of_the_Eurymedon_(190_BC)	Battle of the Eurymedon (190 BC)
326	/wiki/Battle_of_Myonessus	Battle of Myonessus
327	/wiki/Battle_of_Magnesia	Battle of Magnesia
328	/wiki/Battle_of_Mount_Olympus	Battle of Mount Olympus
329	/wiki/Battle_of_Callicinus	Battle of Callicinus
330	/wiki/Battle_of_Pydna	Battle of Pydna
331	/wiki/Battle_of_Wadi_Haramia	Battle of Wadi Haramia
332	/wiki/Battle_of_Beth_Horon_(166_BC)	Battle of Beth Horon (166 BC)
333	/wiki/Battle_of_Emmaus	Battle of Emmaus
334	/wiki/Battle_of_Beth_Zur	Battle of Beth Zur
335	/wiki/Battle_of_Beth_Zachariah	Battle of Beth Zachariah
336	/wiki/Battle_of_Adasa	Battle of Adasa
337	/wiki/Battle_of_Elasa	Battle of Elasa
338	/wiki/Battle_of_Pydna_(148_BC)	Battle of Pydna (148 BC)
339	/wiki/Battle_of_Carthage_(c.149_BC)	Battle of Carthage (c.149 BC)
340	/wiki/Battle_of_Corinth_(146_BC)	Battle of Corinth (146 BC)
341	/wiki/Battle_of_Antioch_(145_BC)	Battle of Antioch (145 BC)
342	/wiki/Siege_of_Numantia	Siege of Numantia
343	/wiki/Battle_of_Mayi	Battle of Mayi
344	/wiki/Battle_of_Ecbatana	Battle of Ecbatana
345	/wiki/Battle_of_Mobei	Battle of Mobei
346	/wiki/Battle_of_Noreia	Battle of Noreia
347	/wiki/Battle_of_the_Muthul	Battle of the Muthul
348	/wiki/Battle_of_Loulan	Battle of Loulan
349	/wiki/Battle_of_Arausio	Battle of Arausio
350	/wiki/Battle_of_Aquae_Sextae	Battle of Aquae Sextae
351	/wiki/Battle_of_Vercellae	Battle of Vercellae
352	/wiki/Battle_of_Fucine_Lake	Battle of Fucine Lake
353	/wiki/Battle_of_Asculum_(89_BC)	Battle of Asculum (89 BC)
354	/wiki/Battle_of_the_River_Amnias	Battle of the River Amnias
355	/wiki/Battle_of_Mount_Scorobas	Battle of Mount Scorobas
356	/wiki/Siege_of_Athens_and_Piraeus_(87_BC_-_86_BC)	Siege of Athens and Piraeus (87 BC - 86 BC)
357	/wiki/Battle_of_Tenedos	Battle of Tenedos
358	/wiki/Battle_of_Chaeronea_(86_BC)	Battle of Chaeronea (86 BC)
359	/wiki/Battle_of_Orchomenus	Battle of Orchomenus
360	/wiki/Battle_of_Mount_Tifata	Battle of Mount Tifata
361	/wiki/Battle_of_the_Colline_Gate_(82_BC)	Battle of the Colline Gate (82 BC)
362	/wiki/Battle_of_the_Baetis_River	Battle of the Baetis River
363	/wiki/Battle_of_Cyzicus_(74_BC)	Battle of Cyzicus (74 BC)
364	/wiki/Battle_of_Cabira	Battle of Cabira
365	/wiki/Battle_of_Tigranocerta	Battle of Tigranocerta
366	/wiki/Battle_of_Artaxata	Battle of Artaxata
367	/wiki/Battle_of_Korakesion	Battle of Korakesion
368	/wiki/Battle_of_Jushi	Battle of Jushi
369	/wiki/Battle_of_the_Lycus	Battle of the Lycus
370	/wiki/Battle_of_the_Pelorus	Battle of the Pelorus
371	/wiki/Battle_of_Pistoria	Battle of Pistoria
372	/wiki/Battle_of_the_Arar	Battle of the Arar
373	/wiki/Battle_of_Bibracte	Battle of Bibracte
374	/wiki/Battle_of_Vosges_(58_BC)	Battle of Vosges (58 BC)
375	/wiki/Battle_of_the_Axona	Battle of the Axona
376	/wiki/Battle_of_the_Sabis	Battle of the Sabis
377	/wiki/Battle_of_Carrhae	Battle of Carrhae
378	/wiki/Battle_of_Bovillae	Battle of Bovillae
379	/wiki/Battle_of_Gergovia	Battle of Gergovia
380	/wiki/Battle_of_Alesia	Battle of Alesia
381	/wiki/Siege_of_Massilia	Siege of Massilia
382	/wiki/Battle_of_Ilerda	Battle of Ilerda
383	/wiki/Battle_of_Utica_(49_BC)	Battle of Utica (49 BC)
384	/wiki/Battle_of_the_Bagradas_River_(49_BC)	Battle of the Bagradas River (49 BC)
385	/wiki/Battle_of_Dyrrhachium_(48_BC)	Battle of Dyrrhachium (48 BC)
386	/wiki/Battle_of_Pharsalus	Battle of Pharsalus
387	/wiki/Battle_of_Nicopolis_(48_BC)	Battle of Nicopolis (48 BC)
388	/wiki/Battle_of_the_Nile_(47_BC)	Battle of the Nile (47 BC)
389	/wiki/Siege_of_Alexandria_(47_BC)	Siege of Alexandria (47 BC)
390	/wiki/Battle_of_Zela	Battle of Zela
391	/wiki/Battle_of_Ruspina	Battle of Ruspina
392	/wiki/Battle_of_Thapsus	Battle of Thapsus
393	/wiki/Battle_of_Munda	Battle of Munda
394	/wiki/Battle_of_Forum_Gallorum	Battle of Forum Gallorum
395	/wiki/Battle_of_Mutina	Battle of Mutina
396	/wiki/First_Battle_of_Philippi	First Battle of Philippi
397	/wiki/Second_Battle_of_Philippi	Second Battle of Philippi
398	/wiki/Battle_of_Perugia	Battle of Perugia
399	/wiki/Battle_of_Naulochus	Battle of Naulochus
400	/wiki/Battle_of_Zhizhi	Battle of Zhizhi
401	/wiki/Battle_of_Actium	Battle of Actium
402	/wiki/Battle_of_Alexandria_(30_BC)	Battle of Alexandria (30 BC)
403	/wiki/Battle_of_the_Lupia_River	Battle of the Lupia River
404	/wiki/Battle_of_the_Teutoburg_Forest	Battle of the Teutoburg Forest
405	/wiki/Battle_of_the_Weser_River	Battle of the Weser River
406	/wiki/Battle_of_Kunyang	Battle of Kunyang
407	/wiki/Battle_of_the_Medway	Battle of the Medway
